Nama titik,x,y,gobs
MG 001,433357.92,9196807.895,970466.886
MG 002,431278.082,9198054.659,970470.388
MG 003,434446.082,9198283.411,970469.695
MG 004,435559.486,9198005.793,970468.132
MG 005,437645.611,9195555.34,970457.323
MG 006,439031.812,9193944.56,970459.495
MG 007,440615.214,9194514.25,970457.783
MG 008,439368.455,9196741.507,970461.382
MG 009,437919.332,9199115.793,970462.535
MG 010,436024.91,9201509.459,970469.86
MG 011,438585.583,9201271.649,970469.091
MG 012,440517.895,9199290.717,970463.826
MG 013,440851.785,9196650.94,970458.051
MG 014,443142.236,9196060.628,970452.948
MG 015,441319.206,9194960.348,970457.775
MG 016,436474.943,9193209.396,970458.415
MG 017,433693.214,9193520.875,970465.281
MG 018,432421.479,9194595.912,970466.62
MG 019,432070.368,9192658.118,970469.376
MG 020,434519.344,9191051.968,970460.691
MG 021,426265.633,9186362.406,970468.879
MG 022,430195.243,9184287.402,970460.9
MG 023,432781.719,9181143.71,970461.78
MG 024,435677.856,9182267.26,970455.986
MG 025,438707.028,9181906.601,970442.682
MG 026,440881.387,9182095.928,970430.915
MG 027,442991.248,9183053.52,970413.772
MG 028,443867.986,9183258.654,970407.884
MG 029,444452.054,9183831.018,970388.019
MG 030,445544.415,9184516.101,970361.025
MG 031,437646.814,9183662.21,970456.423
MG 032,439643.577,9184820.43,970437.417
MG 033,440986.556,9186579.216,970430.978
MG 034,439933.466,9189578.959,970450.887
MG 035,437272.654,9187604.093,970457.038
MG 036,434024.476,9189170.68,970455.546
MG 037,441629.273,9193039.535,970448.658
MG 038,444238.071,9191322.438,970429.61
MG 039,445649.474,9190412.192,970409.376
MG 040,445799.818,9189215.615,970395.742
MG 041,444512.575,9192468.172,970436.062
MG 042,444014.6,9194574.583,970450.415
MG 043,445534.588,9193128.066,970430.743
MG 044,446632.811,9190329.936,970401.736
MG 045,446557.256,9197545.878,970452.823
MG 046,447142.527,9195138.612,970439.213
MG 047,448426.378,9192103.563,970409.139
MG 048,449585.307,9192528.85,970427.678
MG 049,446106.706,9194349.585,970438.258
MG 050,439758.127,9192690.569,970453.995
MG 051,447821.233,9198587.262,970454.113
MG 052,448841.731,9196643.012,970439.644
MG 053,449217.384,9194151.172,970427.114
MG 054,450241.466,9191476.007,970395.115
MG 055,450726.43,9189966.051,970366.498
MG 056,451244.588,9191199.645,970392.572
MG 057,450853.977,9193960.945,970427.348
MG 058,450919.087,9197013.428,970451.034
MG 059,452962.051,9198172.283,970456.252
MG 060,455353.194,9195781.798,970437.823
MG 061,456537.835,9193427.937,970422.893
MG 062,459768.793,9192581.389,970432.427
MG 063,456453.911,9190685.211,970397.603
MG 064,454494.002,9186848.585,970386.351
MG 065,454814.359,9188045.555,970399.627
MG 066,452505.984,9203351.649,970463.373
MG 067,452808.984,9203570.532,970467.228
MG 068,454344.399,9205794.837,970469.782
MG 069,456002.507,9207090.259,970480.413
MG 070,458405.796,9205946.01,970470.37
MG 071,459113.09,9205418.341,970471.495
MG 072,461356.287,9203659.981,970473.196
MG 073,463339.524,9202547.011,970471.587
MG 074,462837.22,9199946.996,970463.518
MG 075,462090.772,9196949.161,970459.22
MG 076,459993.529,9194253.928,970444.555
MG 077,462355.069,9193863.287,970455.246
MG 078,433035.287,9193018.583,970466.682
MG 079,431956.029,9189749.206,970461.817
MG 080,429486.915,9187281.097,970468.077
MG 081,430579.053,9185321.913,970460.302
MG 082,434312.059,9183850.973,970458.419
MG 083,432465.054,9185931.1,970458.652
MG 084,431937.59,9183093.722,970457.97
MG 085,427491.241,9189559.23,970467.805
MG 086,425896.534,9190516.737,970470.493
MG 087,429973.378,9193962.695,970468.397
MG 088,428018.698,9192504.863,970472.999
MG 089,435001.186,9185741.586,970454.286
MG 090,436295.976,9185093.966,970454.197
MG 091,442344.846,9199231.83,970462.154
MG 092,443293.675,9202172.145,970466.342
MG 093,442297.018,9204092.779,970468.725
MG 094,444965.79,9199232.277,970456.84
MG 095,447671.804,9202531.288,970465.347
MG 096,446858.182,9206557.169,970474.657
MG 097,449742.528,9199993.334,970462.342
