no,nama titik,X,Y,Z,Waktu Pengukuran,H obs (nT)
1.0,MG1.1,431449.8,9141242.2,714.0,8:37,45072.0
2.0,MG1.2,431402.8,9141259.3,716.0,9:13,45082.0
3.0,MG1.3,431355.8,9141276.4,374.0,9:31,45073.9
4.0,MG1.4,431308.8,9141293.5,707.0,9:48,44971.6
5.0,MG1.5,431261.8,9141310.6,725.0,10:06,45010.3
6.0,MG1.6,431214.8,9141327.7,713.0,10:28,45076.7
7.0,MG1.7,431167.9,9141344.8,701.0,10:44,45032.2
8.0,MG1.8,431120.9,9141361.9,688.0,10:55,45012.3
9.0,MG1.9,431073.9,9141379.0,681.0,10:02,45032.3
10.0,MG1.10,431026.9,9141396.1,669.0,11:15,45088.4
11.0,MG1.11,430979.9,9141413.2,674.0,11:23,45094.0
12.0,MG1.12,430932.9,9141430.3,674.0,11:37,45145.3
13.0,MG1.13,430886.0,9141447.4,692.0,11:50,45089.0
14.0,MG1.14,430839.0,9141464.5,708.0,12:02,44862.1
15.0,MG1.15,430792.0,9141481.6,724.0,12:40,45155.4
16.0,MG1.16,430745.0,9141498.7,737.0,12:47,45148.8
17.0,MG1.17,430698.0,9141515.8,736.0,12:55,45036.9
18.0,MG1.18,430651.0,9141532.9,739.0,13:02,45164.9
19.0,MG1.19,430604.0,9141550.0,746.0,13:11,45133.0
20.0,MG1.20,430557.1,9141567.1,740.0,13:23,45142.6
21.0,MG1.21,430510.1,9141584.2,732.0,13:29,45165.0
22.0,MG1.22,430463.1,9141601.3,751.0,13:40,45118.8
23.0,MG1.23,430416.1,9141618.4,754.0,13:51,45143.4
24.0,MG1.24,430369.1,9141635.5,768.0,14:01,45212.7
25.0,MG1.25,430322.1,9141652.6,754.0,14:10,45134.6
26.0,MG1.26,430275.2,9141669.7,750.0,14:15,45143.2
27.0,MG1.27,430228.2,9141686.8,739.0,14:27,45227.7
28.0,MG1.28,430181.2,9141703.9,725.0,14:37,45119.7
29.0,MG1.29,430134.2,9141721.0,714.0,16:15,45086.5
30.0,MG1.30,430087.2,9141738.1,716.0,16:10,45166.8
31.0,MG1.31,430040.2,9141755.2,719.0,16:25,45105.2
32.0,MG2.1,431398.5,9141101.3,739.0,8:04,44991.1
33.0,MG2.2,431351.5,9141118.4,747.0,8:16,44980.3
34.0,MG2.3,431304.5,9141135.5,762.0,8:28,44945.6
35.0,MG2.4,431257.5,9141152.6,728.0,8:46,44986.0
36.0,MG2.5,431210.5,9141169.7,665.0,9:02,44978.5
37.0,MG2.6,431163.5,9141186.8,667.0,9:26,45008.3
38.0,MG2.7,431116.6,9141203.9,667.0,9:47,44965.8
39.0,MG2.8,431069.6,9141221.0,690.0,9:59,45047.5
40.0,MG2.9,431022.6,9141238.1,674.0,10:18,45010.3
41.0,MG2.10,430975.6,9141255.2,654.0,10:38,45103.2
42.0,MG2.11,430928.6,9141272.3,672.0,10:53,45042.5
43.0,MG2.12,430881.6,9141289.4,675.0,11:07,45051.0
44.0,MG2.13,430834.7,9141306.5,707.0,11:20,45047.2
45.0,MG2.14,430787.7,9141323.6,705.0,11:33,45033.3
46.0,MG2.15,430740.7,9141340.7,703.0,11:47,45022.9
47.0,MG2.16,430693.7,9141357.8,711.0,12:56,45024.0
48.0,MG2.17,430646.7,9141374.9,696.0,13:02,44987.2
49.0,MG2.18,430599.7,9141392.0,720.0,13:18,44992.8
50.0,MG2.19,430552.7,9141409.1,717.0,13:30,45045.1
51.0,MG2.20,430505.8,9141426.2,728.0,13:38,45053.8
52.0,MG2.21,430458.8,9141443.3,732.0,13:47,45047.1
53.0,MG2.22,430411.8,9141460.4,751.0,14:01,45092.4
54.0,MG2.23,430364.8,9141477.5,757.0,14:16,45124.0
55.0,MG2.24,430317.8,9141494.6,762.0,14:26,45114.6
56.0,MG3.1,431347.2,9140960.3,776.0,8:26,44989.3
57.0,MG3.2,431300.2,9140977.4,709.0,8:47,45038.7
58.0,MG3.3,431253.2,9140994.5,732.0,9:02,45011.0
59.0,MG3.4,431206.2,9141011.6,712.0,9:12,44988.7
60.0,MG3.5,431159.2,9141028.7,703.0,9:20,44994.9
61.0,MG3.6,431112.2,9141045.8,702.0,9:32,45017.0
62.0,MG3.7,431065.3,9141062.9,699.0,9:48,45062.8
63.0,MG3.8,431018.3,9141080.0,684.0,9:57,45026.9
64.0,MG3.9,430971.3,9141097.1,683.0,10:06,45082.5
65.0,"MG3,10",430924.3,9141114.2,696.0,10:17,44966.1
66.0,"MG3,11",430877.3,9141131.3,695.0,10:28,45023.4
67.0,"MG3,12",430830.3,9141148.4,689.0,10:46,45019.5
68.0,"MG3,13",430783.3,9141165.5,672.0,10:57,45022.6
69.0,"MG3,14",430736.4,9141182.6,680.0,11:09,45056.5
70.0,"MG3,15",430689.4,9141199.7,684.0,11:19,45017.8
71.0,"MG3,16",430642.4,9141216.8,673.0,11:31,45024.3
72.0,"MG3,17",430595.4,9141233.9,678.0,12:29,45013.5
73.0,"MG3,18",430548.4,9141251.0,692.0,12:16,45016.3
74.0,"MG3,19",430501.4,9141268.1,704.0,12:28,45026.8
75.0,"MG3,20",430454.5,9141285.2,700.0,12:34,44996.8
76.0,"MG3,21",430407.5,9141302.3,724.0,12:58,45022.3
77.0,"MG3,22",430360.5,9141319.4,737.0,13:05,45013.2
78.0,"MG3,23",430313.5,9141336.5,742.0,13:16,45026.7
79.0,"MG3,24",430266.5,9141353.6,731.0,13:23,45037.9
80.0,MG3.25,430219.5,9141370.7,717.0,13:30,45057.8
81.0,"MG3,26",430172.5,9141387.8,716.0,13:36,45084.5
82.0,"MG3,27",430125.6,9141404.9,698.0,13:43,45175.7
83.0,"MG3,28",430078.6,9141422.0,696.0,13:50,45110.9
84.0,"MG3,29",430031.6,9141439.1,695.0,13:55,45077.3
85.0,"MG3,30",429984.6,9141456.2,712.0,14:05,45149.8
86.0,"MG3,31",429937.6,9141473.3,707.0,14:17,45062.1
87.0,"MG3,32",429890.6,9141490.4,692.0,14:25,45044.2
88.0,"MG3,33",429843.7,9141507.5,696.0,14:31,45059.8
89.0,"MG3,34",429796.7,9141524.6,671.0,14:41,45053.1
90.0,"MG3,35",429749.7,9141541.7,672.0,14:50,45119.5
